Unnamed: 0,GEOID,Longitude,Latitude,LST_Celsius,impervious,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
828,60710049011,-117.3107579,34.09649686,47.09625,49.6,Block Group 1; Census Tract 49.01; San Bernardino County; California,2545,2545,0,100.0
829,60710049012,-117.3067554,34.10159096,47.09625,65.92,Block Group 2; Census Tract 49.01; San Bernardino County; California,1725,1725,0,100.0
830,60710071112,-117.3096493,34.03774161,44.87730159,47.285714285714285,Block Group 2; Census Tract 71.11; San Bernardino County; California,1189,1189,0,100.0
831,60710070021,-117.3166518,34.07663894,46.54032258,54.42857142857143,Block Group 1; Census Tract 70.02; San Bernardino County; California,1583,1583,0,100.0
832,60710055012,-117.2982558,34.12295319,46.53952381,59.66666666666666,Block Group 2; Census Tract 55.01; San Bernardino County; California,865,865,0,100.0
833,60710045112,-117.3530429,34.18937965,46.24222222,49.142857142857146,Block Group 2; Census Tract 45.11; San Bernardino County; California,2552,2552,0,100.0
834,60710045111,-117.3511667,34.19485545,44.29297297,33.1875,Block Group 1; Census Tract 45.11; San Bernardino County; California,1311,1311,0,100.0
835,60710041043,-117.3540753,34.1508116,46.87529412,19.894736842105264,Block Group 3; Census Tract 41.04; San Bernardino County; California,1098,1098,0,100.0
836,60710040043,-117.3793826,34.06164931,46.50118644,64.11363636363636,Block Group 3; Census Tract 40.04; San Bernardino County; California,1308,1308,0,100.0
837,60710056021,-117.2819848,34.11857136,46.84761194,54.42857142857143,Block Group 1; Census Tract 56.02; San Bernardino County; California,1961,1961,0,100.0
838,60710055011,-117.2983133,34.12649126,46.53952381,47.7,Block Group 1; Census Tract 55.01; San Bernardino County; California,2000,2000,0,100.0
839,60710035103,-117.3901083,34.1043737,46.07262295,63.4,Block Group 3; Census Tract 35.10; San Bernardino County; California,2128,2128,0,100.0
840,60710055024,-117.2822725,34.1232003,46.75757576,56.625,Block Group 4; Census Tract 55.02; San Bernardino County; California,1324,1324,0,100.0
841,60710084053,-117.1665644,34.06561495,45.23911765,48.41176470588236,Block Group 3; Census Tract 84.05; San Bernardino County; California,2768,2768,0,100.0
842,60710051023,-117.2841061,34.15681394,44.77567164,41.66666666666666,Block Group 3; Census Tract 51.02; San Bernardino County; California,947,947,0,100.0
843,60710035102,-117.3857571,34.10438349,46.69733333,53.16666666666666,Block Group 2; Census Tract 35.10; San Bernardino County; California,976,976,0,100.0
844,60710032022,-117.4270094,34.0885275,45.37709677,46.6,Block Group 2; Census Tract 32.02; San Bernardino County; California,1876,1876,0,100.0
845,60710051014,-117.2907478,34.15218928,45.13242424,47.18181818181818,Block Group 4; Census Tract 51.01; San Bernardino County; California,1106,1106,0,100.0
846,60710032011,-117.4226276,34.08127777,45.5537931,54.833333333333336,Block Group 1; Census Tract 32.01; San Bernardino County; California,1786,1786,0,100.0
847,60710032012,-117.4335184,34.08123671,45.52032258,61.4,Block Group 2; Census Tract 32.01; San Bernardino County; California,889,889,0,100.0
848,60710032021,-117.4335445,34.08849928,45.89866667,61.6,Block Group 1; Census Tract 32.02; San Bernardino County; California,1510,1510,0,100.0
849,60710027071,-117.4145061,34.16140613,44.566,59.625,Block Group 1; Census Tract 27.07; San Bernardino County; California,1488,1488,0,100.0
850,60710020432,-117.5296544,34.15442386,41.1734375,51.0,Block Group 2; Census Tract 20.43; San Bernardino County; California,1643,1643,0,100.0
851,60710045122,-117.3494914,34.19986005,44.29297297,46.0625,Block Group 2; Census Tract 45.12; San Bernardino County; California,2025,2025,0,100.0
852,60710023084,-117.4445956,34.11762331,45.66409836,44.27272727272727,Block Group 4; Census Tract 23.08; San Bernardino County; California,2059,2059,0,100.0
